Data,Views do Blog,Média Móvel de 7 dias,Média Móvel de 3 dias,Média Móvel de 21 dias
21-Jun-2008,1310,,,
22-Jun-2008,1386,,1320.333333,
23-Jun-2008,1265,,1340.333333,
24-Jun-2008,1370,1349.714286,1287.333333,
25-Jun-2008,1227,1348,1418.666667,
26-Jun-2008,1659,1323,1372.333333,
27-Jun-2008,1231,1386.857143,1396,
28-Jun-2008,1298,1363.714286,1246.666667,
29-Jun-2008,1211,1419.571429,1407,
30-Jun-2008,1712,1355.142857,1377,
1-Jul-2008,1208,1379.857143,1512.666667,1402.857143
2-Jul-2008,1618,1369.142857,1344.666667,1412.52381
3-Jul-2008,1208,1422.571429,1410,1425.619048
4-Jul-2008,1404,1392.428571,1278.333333,1438.238095
5-Jul-2008,1223,1422.285714,1404,1434.238095
6-Jul-2008,1585,1433.714286,1436.333333,1451.571429
7-Jul-2008,1501,1457,1501,1451.52381
8-Jul-2008,1417,1479,1538.666667,1471.285714
9-Jul-2008,1698,1520.428571,1495.333333,1476.52381
10-Jul-2008,1371,1531.285714,1542.333333,1489.619048
11-Jul-2008,1558,1535.428571,1480.666667,1489.190476
12-Jul-2008,1513,1516.714286,1577.333333,1490.857143
13-Jul-2008,1661,1501.428571,1568,1472.666667
14-Jul-2008,1530,1542.428571,1492.333333,1477.904762
15-Jul-2008,1286,1555,1469,1489.714286
16-Jul-2008,1591,1540,1511.666667,1503.571429
17-Jul-2008,1658,1515,1631.666667,1486.666667
18-Jul-2008,1646,1539.714286,1570.666667,1474.571429
19-Jul-2008,1408,1533.571429,1513.333333,1469.619048
20-Jul-2008,1486,1482.857143,1532.333333,1449.714286
21-Jul-2008,1703,1434.285714,1477.333333,1450.714286
22-Jul-2008,1243,1435.142857,1394,1448.142857
23-Jul-2008,1236,1450.285714,1265.666667,1440.666667
24-Jul-2008,1318,1413.714286,1402,1423.571429
25-Jul-2008,1652,1348.571429,1494.666667,1423.333333
26-Jul-2008,1514,1358.571429,1465.333333,1423.380952
27-Jul-2008,1230,1364.857143,1330.333333,1418.47619
28-Jul-2008,1247,1375.428571,1263.333333,1395.714286
29-Jul-2008,1313,1354.285714,1280,1379
30-Jul-2008,1280,1331.714286,1328.333333,1387.190476
31-Jul-2008,1392,1342,1392,1374.142857
1-Aug-2008,1504,1381.714286,1417.333333,1351.238095
2-Aug-2008,1356,1378,1387.333333,1371.52381
3-Aug-2008,1302,1407.714286,1394.333333,1387.285714
4-Aug-2008,1525,1377.428571,1371.333333,1392.904762
5-Aug-2008,1287,1347.571429,1433.333333,1373
6-Aug-2008,1488,1379.571429,1318.333333,1360.52381
7-Aug-2008,1180,1366.714286,1321,1379.285714
8-Aug-2008,1295,1323.428571,1351.666667,1379.714286
9-Aug-2008,1580,1378,1362.333333,1397.190476
10-Aug-2008,1212,1389.285714,1338,1412.047619
11-Aug-2008,1222,1425.857143,1367.666667,1412.571429
12-Aug-2008,1669,1417.142857,1486,1417.761905
13-Aug-2008,1567,1370.285714,1557.333333,1431.857143
14-Aug-2008,1436,1429.142857,1412.333333,1431.666667
15-Aug-2008,1234,1434,1307.333333,1435.714286
16-Aug-2008,1252,1435.571429,1370,1451.238095
17-Aug-2008,1624,1439.142857,1377.333333,1448.380952
18-Aug-2008,1256,1434.428571,1520,1469.047619
19-Aug-2008,1680,1488.571429,1509.333333,1487.761905
20-Aug-2008,1592,1545.714286,1558.333333,1492.47619
21-Aug-2008,1403,1499.142857,1536,1508.428571
22-Aug-2008,1613,1549.714286,1556,1526.571429
23-Aug-2008,1652,1540.142857,1521,1527.095238
24-Aug-2008,1298,1516.714286,1520,1526.952381
25-Aug-2008,1610,1546.857143,1507,1527.52381
26-Aug-2008,1613,1557.571429,1550.333333,1528.619048
27-Aug-2008,1428,1561.428571,1551.666667,1549.333333
28-Aug-2008,1614,1597,1576.666667,1546.52381
29-Aug-2008,1688,1596,1660.333333,1551.333333
30-Aug-2008,1679,1605.571429,1638,1552.285714
31-Aug-2008,1547,1625,1609.666667,1557.190476
1-Sep-2008,1603,1601.285714,1610,1562.428571
2-Sep-2008,1680,1539.714286,1615.666667,1563.714286
3-Sep-2008,1564,1540.857143,1564,1562.952381
4-Sep-2008,1448,1543.428571,1423,1582.857143
5-Sep-2008,1257,1508.285714,1464,1571.952381
